Taxpayer_ID,Year,Tax_due,Sector,Revenues,Other_revenues,Expenses,Donations_NGO,Donations_Others,Donations_Govt,Other_additions,Tax_depreciation,Other_deductions,Carried_forward_losses,Exemptions,Investment_incentive,Exchange_rate,Net_accounting_profit,Total_additions_to_GP,Total_taxable_profit,Tax_depr,Total_deductions,Net_taxable_profit,Donations_allowed,CF_losses,Tax_base,Net_tax_base,Net_tax_base_Egyp_Pounds,citax
2000000778,2020,1387278,0,60750694,41280970,82253282,0,0,0,25936617,38565879,11576,0,0,0,1,19778382,25936617,45714999,38565879,38577455,7137544,0,0,7137544,7137544,7137544,1605947
2000001451,2020,1301067,0,6690505,4984,4643862,0,0,0,4642364,0,0,0,0,0,1,2051626,4642364,6693991,0,0,6693991,0,0,6693991,6693991,6693991,1506148
2000000412,2020,1293862,0,5612313,2603927,18909088,0,0,0,19510460,433762,1726932,0,0,0,1,-10692848,19510460,8817612,433762,2160694,6656918,0,0,6656918,6656918,6656918,1497807
2000004589,2020,1267123,0,13023754,11150107,8007829,0,0,0,6457649,0,16104333,0,0,0,1,16166032,6457649,22623681,0,16104333,6519348,0,0,6519348,6519348,6519348,1466853
2000000435,2020,-1763476,0,-162190,930465,6524271,0,0,0,6038797,8242796,1113091,0,0,0,1,-5755996,6038797,282801,8242796,9355887,-9073086,0,0,-9073086,-9073086,-9073086,0
2000002706,2020,1558041997,1,37974828417,163026522,29573154059,9608007,200190,118709613,10963009573,442319585,11038948980,0,30516003,0,1,8564700880,11091527383,19656228263,442319585,11599978178,8056250085,9608007,0,8046642078,8016126075,8016126075,1803628367
2000002673,2020,286500883,1,3531074846,1663075834,1845824263,0,0,0,1462529946,5263702,3316958609,0,14587008,0,1,3348326417,1462529946,4810856362,5263702,3322222311,1488634051,0,0,1488634051,1474047043,1474047043,331660585
2000002719,2020,550418185,1,12851936543,128588985,8805293973,9131346,0,0,5370816943,276555808,6272207162,0,165383967,0,1,4175231555,5379948289,9555179844,276555808,6548762970,3006416874,9131346,0,2997285528,2831901561,2831901561,637177851
2000002746,2020,643720487,1,25934037455,215041392,22496407711,72857560,1099744,186457096,9613639136,445593034,9262812458,0,247062618,0,1,3652671136,9874053536,13526724671,445593034,9894862587,3631862084,72857560,0,3559004524,3311941905,3311941905,745186929
2000001176,2020,322002098,1,7174197023,59521620,5652994392,19494984,1330111,0,2372813652,161031007,2096985687,0,40150525,0,1,1580724251,2393638747,3974362998,161031007,2258016694,1716346305,19494984,0,1696851321,1656700796,1656700796,372757679
-2147483648,2020,3103165113,2,1061497394,0,0,0,0,0,0,0,725277978,0,0,0,16,1061497394,0,1061497394,0,725277978,336219416,0,0,336219416,565549901,8858943314,3592301514
-2147483648,2020,1844125373,2,2791629835,0,0,0,0,0,0,0,2591823917,0,0,0,16,2791629835,0,2791629835,0,2591823917,199805919,0,0,199805919,336090696,5264625488,2134805635
-2147483648,2020,1844125373,2,2791629835,0,0,0,0,0,0,0,2591823917,0,0,0,16,2791629835,0,2791629835,0,2591823917,199805919,0,0,199805919,336090696,5264625488,2134805635
-2147483648,2020,1844125373,2,2791629835,0,0,0,0,0,0,0,2591823917,0,0,0,16,2791629835,0,2791629835,0,2591823917,199805919,0,0,199805919,336090696,5264625488,2134805635
-2147483648,2020,1243868484,2,466255552,0,0,0,0,0,0,0,331485818,0,0,0,16,466255552,0,466255552,0,331485818,134769734,0,0,134769734,226694253,3551006791,1439933254
2000003695,2020,68735370,3,1492428899,77829939,1289785729,0,0,0,219477700,110215379,9372609,0,26719344,0,1,280473109,219477700,499950809,110215379,119587988,380362821,0,0,380362821,353643477,353643477,79569782
2000004193,2020,0,3,0,0,19564,0,0,0,0,0,0,0,0,0,1,-19564,0,-19564,0,0,-19564,0,0,-19564,-19564,-19564,0
2000000100,2020,0,3,1235709406,29360764,1265070173,6946,0,0,30631035,30982243,23314331,496454604,0,0,1,-2,30637981,30637979,30982243,54296574,-23658595,0,496454604,-520113199,-520113199,-520113199,0
2000003937,2020,0,3,0,0,5043693,0,0,0,0,46987,0,51324698,0,0,1,-5043693,0,-5043693,46987,46987,-5090680,0,51324698,-56415378,-56415378,-56415378,0
2000003308,2020,0,3,0,0,48908,0,0,0,450,0,0,0,0,0,1,-48908,450,-48458,0,0,-48458,0,0,-48458,-48458,-48458,0
