WT2017,WT2018,WT2019,WT2020,WT2021,WT2022,WT2023
3694.42,3989.9736,4309.171488,4653.905207,5026.217624,5428.315033,5862.580236
3694.42,3989.9736,4309.171488,4653.905207,5026.217624,5428.315033,5862.580236
3694.42,3989.9736,4309.171488,4653.905207,5026.217624,5428.315033,5862.580236
8248,8907.84,9620.4672,10390.10458,11221.31294,12119.01798,13088.53942
8248,8907.84,9620.4672,10390.10458,11221.31294,12119.01798,13088.53942
8248,8907.84,9620.4672,10390.10458,11221.31294,12119.01798,13088.53942
8248,8907.84,9620.4672,10390.10458,11221.31294,12119.01798,13088.53942
257.75,278.37,300.6396,324.690768,350.6660294,378.7193118,409.0168567
924,997.92,1077.7536,1163.973888,1257.091799,1357.659143,1466.271874
924,997.92,1077.7536,1163.973888,1257.091799,1357.659143,1466.271874
6270,6771.6,7313.328,7898.39424,8530.265779,9212.687042,9949.702005
6270,6771.6,7313.328,7898.39424,8530.265779,9212.687042,9949.702005
6270,6771.6,7313.328,7898.39424,8530.265779,9212.687042,9949.702005
6270,6771.6,7313.328,7898.39424,8530.265779,9212.687042,9949.702005
5148,5559.84,6004.6272,6484.997376,7003.797166,7564.100939,8169.229015
5148,5559.84,6004.6272,6484.997376,7003.797166,7564.100939,8169.229015
2946.88,3182.6304,3437.240832,3712.220099,4009.197706,4329.933523,4676.328205
2946.88,3182.6304,3437.240832,3712.220099,4009.197706,4329.933523,4676.328205
2946.88,3182.6304,3437.240832,3712.220099,4009.197706,4329.933523,4676.328205
2946.88,3182.6304,3437.240832,3712.220099,4009.197706,4329.933523,4676.328205
9417.19,10170.5652,10984.21042,11862.94725,12811.98303,13836.94167,14943.89701
9417.19,10170.5652,10984.21042,11862.94725,12811.98303,13836.94167,14943.89701
9417.19,10170.5652,10984.21042,11862.94725,12811.98303,13836.94167,14943.89701
9417.19,10170.5652,10984.21042,11862.94725,12811.98303,13836.94167,14943.89701
1166.25,1259.55,1360.314,1469.13912,1586.67025,1713.60387,1850.692179
1166.25,1259.55,1360.314,1469.13912,1586.67025,1713.60387,1850.692179
3790.31,4093.5348,4421.017584,4774.698991,5156.67491,5569.208903,6014.745615
3790.31,4093.5348,4421.017584,4774.698991,5156.67491,5569.208903,6014.745615
3790.31,4093.5348,4421.017584,4774.698991,5156.67491,5569.208903,6014.745615
3790.31,4093.5348,4421.017584,4774.698991,5156.67491,5569.208903,6014.745615
2332.5,2519.1,2720.628,2938.27824,3173.340499,3427.207739,3701.384358
2332.5,2519.1,2720.628,2938.27824,3173.340499,3427.207739,3701.384358
3563.63,3848.7204,4156.618032,4489.147475,4848.279273,5236.141614,5655.032943
3563.63,3848.7204,4156.618032,4489.147475,4848.279273,5236.141614,5655.032943
