Taxpayer_ID,Year,Tax due,Sector_name,Sector,Revenues,Other_revenues,Expenses,Net_accounting_profit,Donations_NGO,Donations_Others,Other_additions,Total_additions_to_GP,Total_taxable_profit,Tax_depreciation,Other_deductions,Net_taxable_profit,Donations_allowed,Carried_forward_losses,Tax_base,Exemptions,Investment_incentive,Net_tax_base,Exchange_rate,Net_tax_base_Egyp_Pounds,Donations_Govt,Loss_lag8,Loss_lag7,Loss_lag6,Loss_lag5,Loss_lag4,Loss_lag3,Loss_lag2,Loss_lag1,Op_WDV_Bld,Add_Bld,Excl_Bld,Clg_WDV_Bld,Dep_Bld,Op_WDV_Intang,Add_Intang,Excl_Intang,Clg_WDV_Intang,Dep_Intang,Op_WDV_Mach,Add_Mach,Excl_Mach,Clg_WDV_Mach,Dep_Mach,Op_WDV_Others,Add_Others,Excl_Others,Clg_WDV_Others,Dep_Others,Op_WDV_Comp,Add_Comp,Excl_Comp,Clg_WDV_Comp,Dep_Comp
2000000778,2020,1387278,Hotels,0,52478734,35660054,71053478,17085310,0,0,22405025,22405025,39490335,33314656,10000,6165680,0,0,6165680,0,0,6165680,1,6165680,0,0,0,0,0,0,0,0,0,561482024,9987665,0,571469689,28110392,0,0,0,0,0,0,0,0,0,0,17524753,3302301,10000,20817054,5204263.5,0,0,0,0,0
2000001451,2020,1301067,Hotels,0,5779510,4305,4011543,1772272,0,0,4010249,4010249,5782521,0,0,5782521,0,0,5782521,0,0,5782521,1,5782521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000000412,2020,1293862,Hotels,0,4848127,2249370,16334381,-9236884,0,0,16853869,16853869,7616985,374700,1491789,5750497,0,0,5750497,0,0,5750497,1,5750497,0,0,0,0,0,0,0,0,0,1914580,0,0,1914580,95729,0,0,0,0,0,0,0,0,0,0,46590,830000,0,876590,219147.5,116796,2850,0,119646,59823
2000004589,2020,1267123,Hotels,0,11250408,9631882,6917464,13964826,0,0,5578360,5578360,19543186,0,13911528,5631658,0,0,5631658,0,0,5631658,1,5631658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000000498,2020,773841,Hotels,0,3504424,0,2342278,1162146,0,0,2277148,2277148,3439294,0,0,3439294,0,0,3439294,0,0,3439294,1,3439294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000002706,2020,1558041997,Banks,1,32804084584,140828439,25546402383,7398510640,8299758,172932,9470259862,9478732552,16877243192,382092288,9535859177,6959291727,8299758,0,6950991969,26360871,0,6924631098,1,6924631098,102545827,0,0,0,0,0,0,0,0,421442465,76670293,5198298,492914460,25952845,35453000,8136185,0,43589185,0,0,0,0,0,0,139583803,63831473,541417,202873859,28854064.5,20742593,7666463,0,28409056,35961210
2000002673,2020,286500883,Banks,1,3050275215,1436627435,1594492399,2892410251,0,0,1263388356,1263388356,4155798607,4546984,2865313559,1285938064,0,0,1285938064,12600806,0,1273337258,1,1273337258,0,0,0,0,0,0,0,0,0,1074230733,71822689,16340406,1129713016,18949169,732071692,0,0,732071692,0,0,0,0,0,0,677362360,269719901,1093515,945988746,25718345.5,434753095,393202425,0,827955520,42509226
2000002719,2020,550418185,Banks,1,11101986000,111080000,7606344000,3606722000,7888000,0,4639513610,4647401610,8254123610,238899305,5418168372,2597055933,7888000,0,2589167933,142864889,0,2446303044,1,2446303044,0,0,0,0,0,0,0,0,0,520781596,0,1881497,518900099,114906471,0,0,0,0,0,0,0,0,0,0,90533295,26732397,1849434,115416258,96207989,44560098,27362322,0,71922420,180359381
2000002746,2020,643720487,Banks,1,22402796635,185760840,19433242813,3155314662,62937100,950000,8304622944,8368510044,11523824705,384920016,8001565669,3137339020,62937100,0,3074401920,213421979,0,2860979941,1,2860979941,161068650,0,0,0,0,0,0,0,0,476705669,0,0,476705669,22834695,0,0,0,0,0,0,0,0,0,0,77312445,158926116,7796000,228442561,57110640.25,53111055,264796884,0,317907939,158953969.5
2000001176,2020,322002098,Banks,1,6197341128,51417013,4883269100,1365489041,16840500,1149000,2049725647,2067715147,3433204188,139104638,1811455080,1482644470,16840500,0,1465803970,34683533,0,1431120437,1,1431120437,0,0,0,0,0,0,0,0,0,355803105,39003167,0,394806272,17280554.35,0,0,0,0,0,0,0,0,0,0,167364366,64899425,35000,232228791,3773999,136197670,132522929,0,268720599,100772249
